  30: This is info message
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'tip', 55, 8)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'para', 57, 8)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'indexterm', 58, 56)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'primary', 58, 65)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'primary', 58, 81)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'indexterm', 58, 93)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'command', 58, 107)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'command', 58, 123)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'screen', 59, 8)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'prompt', 60, 8)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'prompt', 60, 18)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'userinput', 60, 30)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'userinput', 60, 80)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'screen', 61, 9)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'command', 62, 17)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'command', 62, 33)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'command', 62, 96)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'command', 62, 112)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'para', 63, 9)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'para', 65, 8)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'command', 66, 25)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'command', 66, 41)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'command', 66, 62)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'command', 66, 78)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'productname', 66, 114)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'productname', 66, 138)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'screen', 67, 8)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'userinput', 68, 17)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'userinput', 68, 51)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'userinput', 69, 17)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'userinput', 69, 60)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'userinput', 70, 17)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'userinput', 70, 40)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'userinput', 71, 21)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'userinput', 71, 64)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'screen', 72, 9)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'para', 73, 9)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'para', 75, 8)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'command', 76, 29)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'command', 76, 45)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'para', 76, 76)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'para', 78, 8)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'command', 79, 58)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'command', 79, 74)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'productname', 79, 93)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'productname', 79, 117)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'para', 80, 9)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'para', 82, 8)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'command', 83, 85)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'command', 83, 101)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'option', 83, 110)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'option', 83, 121)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'option', 83, 130)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'option', 83, 149)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'option', 83, 158)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'option', 83, 175)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'indexterm', 83, 205)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'primary', 83, 214)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'primary', 83, 232)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'secondary', 83, 243)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'secondary', 83, 271)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'indexterm', 83, 283)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'option', 83, 296)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'option', 83, 311)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'option', 83, 320)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'option', 83, 340)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'literal', 83, 360)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'literal', 83, 375)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'command', 83, 395)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'command', 83, 411)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'emphasis', 83, 432)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'emphasis', 83, 445)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'filename', 83, 460)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'filename', 83, 482)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'literal', 83, 505)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'literal', 83, 519)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'para', 84, 9)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'para', 86, 8)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'command', 87, 12)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'command', 87, 28)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'indexterm', 87, 55)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'primary', 87, 64)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'primary', 87, 80)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'indexterm', 87, 92)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'command', 87, 215)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'command', 87, 231)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'literal', 87, 309)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'literal', 87, 320)
